Position,Token,Absolute Häufigkeit 1835-1870,Relative Häufigkeit 1835-1870,Absolute Häufigkeit 1800-1834,Relative Häufigkeit 1800-1837,+/-,Log ratio,Log Likelihood
851,beziehungsweise,482.0,7.94,19.0,1.42,+,2.49,95.64
852,Beginn,1116.0,18.39,44.0,3.28,+,2.48,221.41
853,Preußischen,1242.0,20.46,49.0,3.66,+,2.48,246.31
854,vierteljähr,405.0,6.67,16.0,1.19,+,2.48,80.25
855,Stand-,253.0,4.17,10.0,0.75,+,2.48,50.12
856,gebotenen,303.0,4.99,12.0,0.9,+,2.48,59.95
857,Auffassung,1691.0,27.86,67.0,5.0,+,2.48,334.47
858,Schulzeit,1235.0,20.35,49.0,3.66,+,2.48,244.06
859,Themata,252.0,4.15,10.0,0.75,+,2.48,49.8
860,Göthe,554.0,9.13,22.0,1.64,+,2.47,109.42
861,sonn-,1231.0,20.28,49.0,3.66,+,2.47,242.78
862,konferenzen,1130.0,18.62,45.0,3.36,+,2.47,222.8
863,Außerrhoden,251.0,4.14,10.0,0.75,+,2.47,49.47
864,Schuljugend,502.0,8.27,20.0,1.49,+,2.47,98.95
865,resp,1303.0,21.47,52.0,3.88,+,2.47,256.56
866,dasS,7457.0,122.85,298.0,22.24,+,2.47,1467.13
867,feier-,425.0,7.0,17.0,1.27,+,2.46,83.56
869,Drusen,275.0,4.53,11.0,0.82,+,2.46,54.07
870,evang.,275.0,4.53,11.0,0.82,+,2.46,54.07
871,Missionar,699.0,11.52,28.0,2.09,+,2.46,137.31
872,allseitig,673.0,11.09,27.0,2.02,+,2.46,132.07
873,begrüßte,224.0,3.69,9.0,0.67,+,2.46,43.92
874,Algier,447.0,7.36,18.0,1.34,+,2.45,87.52
875,strophe,298.0,4.91,12.0,0.9,+,2.45,58.34
876,Oberlehrer,1488.0,24.51,60.0,4.48,+,2.45,291.08
877,verwahrloste,223.0,3.67,9.0,0.67,+,2.45,43.6
878,Notker,247.0,4.07,10.0,0.75,+,2.45,48.19
879,Prozession,567.0,9.34,23.0,1.72,+,2.44,110.49
880,sprechenden,764.0,12.59,31.0,2.31,+,2.44,148.86
881,Klosterfrauen,468.0,7.71,19.0,1.42,+,2.44,91.15
882,Missionäre,1058.0,17.43,43.0,3.21,+,2.44,205.92
883,Bezügliche,541.0,8.91,22.0,1.64,+,2.44,105.26
884,Räber,590.0,9.72,24.0,1.79,+,2.44,114.77
885,gediegenen,293.0,4.83,12.0,0.9,+,2.43,56.75
886,3n,830.0,13.67,34.0,2.54,+,2.43,160.73
887,Nachträglich,463.0,7.63,19.0,1.42,+,2.43,89.56
888,Sitzend,632.0,10.41,26.0,1.94,+,2.42,122.05
889,schulpflichtigen,243.0,4.0,10.0,0.75,+,2.42,46.92
890,Industriellen,607.0,10.0,25.0,1.87,+,2.42,117.14
891,3m,631.0,10.4,26.0,1.94,+,2.42,121.73
892,übet,970.0,15.98,40.0,2.99,+,2.42,187.04
893,nicbt,315.0,5.19,13.0,0.97,+,2.42,60.71
894,verwaltungsbericht,315.0,5.19,13.0,0.97,+,2.42,60.71
895,Asyl,242.0,3.99,10.0,0.75,+,2.42,46.6
896,Abiturienten,266.0,4.38,11.0,0.82,+,2.42,51.2
897,spezieller,266.0,4.38,11.0,0.82,+,2.42,51.2
898,Fürstenthum,361.0,5.95,15.0,1.12,+,2.41,69.26
899,Einweihung,408.0,6.72,17.0,1.27,+,2.41,78.14
900,Erfolglos,240.0,3.95,10.0,0.75,+,2.41,45.96
901,Unterrichtswesen,360.0,5.93,15.0,1.12,+,2.41,68.95
902,stationen,479.0,7.89,20.0,1.49,+,2.4,91.61
903,Mädchenschulen,359.0,5.91,15.0,1.12,+,2.4,68.63
904,malerei,311.0,5.12,13.0,0.97,+,2.4,59.44
905,thesen,287.0,4.73,12.0,0.9,+,2.4,54.84
906,einwohnerzahl,263.0,4.33,11.0,0.82,+,2.4,50.24
907,Hauptsatz,263.0,4.33,11.0,0.82,+,2.4,50.24
908,Stadtrathes,263.0,4.33,11.0,0.82,+,2.4,50.24
909,landwirthschaftlichen,717.0,11.81,30.0,2.24,+,2.4,136.94
910,würben,740.0,12.19,31.0,2.31,+,2.4,141.22
911,gedeihlichen,262.0,4.32,11.0,0.82,+,2.39,49.93
912,Pins,428.0,7.05,18.0,1.34,+,2.39,81.47
913,Hinblick,474.0,7.81,20.0,1.49,+,2.39,90.03
914,flügeln,355.0,5.85,15.0,1.12,+,2.39,67.36
915,Kostgelder,236.0,3.89,10.0,0.75,+,2.38,44.7
916,statue,236.0,3.89,10.0,0.75,+,2.38,44.7
917,abhin,283.0,4.66,12.0,0.9,+,2.38,53.58
918,weberei,589.0,9.7,25.0,1.87,+,2.38,111.43
919,Besprochen,1107.0,18.24,47.0,3.51,+,2.38,209.39
920,programm,915.0,15.07,39.0,2.91,+,2.37,172.62
921,Blumer,258.0,4.25,11.0,0.82,+,2.37,48.66
922,Thätkraft,258.0,4.25,11.0,0.82,+,2.37,48.66
923,Feststellung,422.0,6.95,18.0,1.34,+,2.37,79.57
924,nacb,281.0,4.63,12.0,0.9,+,2.37,52.94
925,Niedergelassenen,281.0,4.63,12.0,0.9,+,2.37,52.94
926,Sympathie,234.0,3.86,10.0,0.75,+,2.37,44.07
927,zieles,234.0,3.86,10.0,0.75,+,2.37,44.07
928,bewußtsein,2268.0,37.36,97.0,7.24,+,2.37,426.9
929,Beere,257.0,4.23,11.0,0.82,+,2.37,48.35
930,Anforderungen,1588.0,26.16,68.0,5.08,+,2.37,298.66
931,Wittwen-,349.0,5.75,15.0,1.12,+,2.36,65.47
932,theilweise,2558.0,42.14,110.0,8.21,+,2.36,479.72
933,médaillé,441.0,7.27,19.0,1.42,+,2.36,82.6
934,Aesten,255.0,4.2,11.0,0.82,+,2.36,47.72
935,rhythmische,255.0,4.2,11.0,0.82,+,2.36,47.72
936,1835.,324.0,5.34,14.0,1.04,+,2.35,60.56
937,katholisches,578.0,9.52,25.0,1.87,+,2.35,107.97
938,SchulhauseS,323.0,5.32,14.0,1.04,+,2.35,60.25
939,BezirkeS,1198.0,19.74,52.0,3.88,+,2.35,223.24
940,Demnächst,390.0,6.43,17.0,1.27,+,2.34,72.46
941,braunen,481.0,7.92,21.0,1.57,+,2.34,89.27
942,Ju,7044.0,116.05,308.0,22.99,+,2.34,1306.09
943,Anschaffungen,343.0,5.65,15.0,1.12,+,2.34,63.59
944,wasserstoff,297.0,4.89,13.0,0.97,+,2.33,55.03
945,Pastoren,274.0,4.51,12.0,0.9,+,2.33,50.74
946,stadtischen,1050.0,17.3,46.0,3.43,+,2.33,194.42
947,Gesammtzahl,840.0,13.84,37.0,2.76,+,2.33,154.95
948,günstigsten,271.0,4.46,12.0,0.9,+,2.32,49.81
949,"2,000",316.0,5.21,14.0,1.04,+,2.32,58.06
950,bezüglichen,1060.0,17.46,47.0,3.51,+,2.32,194.64
951,seligsten,248.0,4.09,11.0,0.82,+,2.32,45.53
952,lehrmitteln,631.0,10.4,28.0,2.09,+,2.31,115.8
953,Unterrichtsfächer,338.0,5.57,15.0,1.12,+,2.31,62.02
954,Communion,270.0,4.45,12.0,0.9,+,2.31,49.49
955,kante,247.0,4.07,11.0,0.82,+,2.31,45.21
956,Korrespondenz,1234.0,20.33,55.0,4.11,+,2.31,225.76
957,Protestantische,1929.0,31.78,86.0,6.42,+,2.31,352.85
958,zustanden,469.0,7.73,21.0,1.57,+,2.3,85.53
959,Samen,2544.0,41.91,114.0,8.51,+,2.3,463.67
960,eier,1517.0,24.99,68.0,5.08,+,2.3,276.42
961,lappen,580.0,9.56,26.0,1.94,+,2.3,105.68
962,erscheinende,623.0,10.26,28.0,2.09,+,2.3,113.31
963,oor,311.0,5.12,14.0,1.04,+,2.29,56.5
964,Anregungen,266.0,4.38,12.0,0.9,+,2.29,48.25
965,Jugend-,419.0,6.9,19.0,1.42,+,2.28,75.72
966,Vorsteherschaft,837.0,13.79,38.0,2.84,+,2.28,151.14
967,Firmung,506.0,8.34,23.0,1.72,+,2.28,91.29
968,fraglichen,704.0,11.6,32.0,2.39,+,2.28,127.01
969,Np.,682.0,11.24,31.0,2.31,+,2.28,123.04
970,Klaffen,1030.0,16.97,47.0,3.51,+,2.27,185.31
971,Neujahr,591.0,9.74,27.0,2.02,+,2.27,106.24
972,leistungen,4612.0,75.98,211.0,15.75,+,2.27,828.22
973,stäte,459.0,7.56,21.0,1.57,+,2.27,82.42
974,gewölbt,284.0,4.68,13.0,0.97,+,2.27,50.98
975,kapiteln,524.0,8.63,24.0,1.79,+,2.27,94.02
976,soliden,436.0,7.18,20.0,1.49,+,2.27,78.14
977,Entfaltung,522.0,8.6,24.0,1.79,+,2.26,93.4
978,Tonleiter,261.0,4.3,12.0,0.9,+,2.26,46.7
979,traube,261.0,4.3,12.0,0.9,+,2.26,46.7
980,Spenden,609.0,10.03,28.0,2.09,+,2.26,108.97
981,Schweizergeschichte,500.0,8.24,23.0,1.72,+,2.26,89.43
982,fragliche,413.0,6.8,19.0,1.42,+,2.26,73.87
983,konferenz,1978.0,32.59,91.0,6.79,+,2.26,353.77
984,PiuS,2108.0,34.73,97.0,7.24,+,2.26,376.96
985,Straf¬,304.0,5.01,14.0,1.04,+,2.26,54.33
986,Vornahme,282.0,4.65,13.0,0.97,+,2.26,50.36
987,®,846.0,13.94,39.0,2.91,+,2.26,151.08
988,direktor,3144.0,51.8,145.0,10.82,+,2.26,561.3
989,zahnen,477.0,7.86,22.0,1.64,+,2.26,85.15
990,stoffeS,1277.0,21.04,59.0,4.4,+,2.26,227.68
991,Industrielle,303.0,4.99,14.0,1.04,+,2.26,54.02
992,beßtens,843.0,13.89,39.0,2.91,+,2.25,150.16
993,"5,000",302.0,4.98,14.0,1.04,+,2.25,53.71
994,grammatischen,755.0,12.44,35.0,2.61,+,2.25,134.28
995,Katalog,280.0,4.61,13.0,0.97,+,2.25,49.74
996,Schiller,926.0,15.26,43.0,3.21,+,2.25,164.49
997,Bayern,969.0,15.96,45.0,3.36,+,2.25,172.12
998,volkS-,1677.0,27.63,78.0,5.82,+,2.25,297.54
999,diesjährige,494.0,8.14,23.0,1.72,+,2.25,87.58
1000,Ausgetreten,365.0,6.01,17.0,1.27,+,2.24,64.69
1001,vorab,322.0,5.3,15.0,1.12,+,2.24,57.07
1002,/«,428.0,7.05,20.0,1.49,+,2.24,75.68
1003,Methodische,385.0,6.34,18.0,1.34,+,2.24,68.05
1004,Ew.,620.0,10.21,29.0,2.16,+,2.24,109.55
1005,Samstag,2970.0,48.93,139.0,10.38,+,2.24,524.55
1006,mebr,362.0,5.96,17.0,1.27,+,2.23,63.77
1007,Melodie,298.0,4.91,14.0,1.04,+,2.23,52.48
1008,Neger,447.0,7.36,21.0,1.57,+,2.23,78.72
1009,samstags,596.0,9.82,28.0,2.09,+,2.23,104.96
1010,Orgel,830.0,13.67,39.0,2.91,+,2.23,146.16
1011,raupe,255.0,4.2,12.0,0.9,+,2.23,44.85
1012,alt.,658.0,10.84,31.0,2.31,+,2.23,115.64
1013,endung,487.0,8.02,23.0,1.72,+,2.22,85.43
1014,kanten,741.0,12.21,35.0,2.61,+,2.22,129.98
1015,materieller,254.0,4.18,12.0,0.9,+,2.22,44.55
1016,pastor,402.0,6.62,19.0,1.42,+,2.22,70.48
1017,Solid,296.0,4.88,14.0,1.04,+,2.22,51.87
1018,Feier,2532.0,41.71,120.0,8.96,+,2.22,443.02
1019,Inbegriffen,928.0,15.29,44.0,3.28,+,2.22,162.32
1020,Bestrebungen,2109.0,34.75,100.0,7.46,+,2.22,368.88
1021,anderem,506.0,8.34,24.0,1.79,+,2.22,88.48
1022,Insgemein,632.0,10.41,30.0,2.24,+,2.22,110.45
1023,stoffen,779.0,12.83,37.0,2.76,+,2.22,136.07
1024,kassier,335.0,5.52,16.0,1.19,+,2.21,58.27
1025,stengel,898.0,14.79,43.0,3.21,+,2.2,155.9
1026,Holstein,313.0,5.16,15.0,1.12,+,2.2,54.31
1027,naturwissenschaftlichen,292.0,4.81,14.0,1.04,+,2.2,50.64
1028,Prozent,917.0,15.11,44.0,3.28,+,2.2,158.95
1029,"25,000",479.0,7.89,23.0,1.72,+,2.2,82.98
1030,Klaffe,1811.0,29.84,87.0,6.49,+,2.2,313.64
1031,frequenz,416.0,6.85,20.0,1.49,+,2.2,72.0
1032,An's,956.0,15.75,46.0,3.43,+,2.2,165.36
1033,Toleranz,810.0,13.34,39.0,2.91,+,2.2,140.04
1034,schülerinnen,789.0,13.0,38.0,2.84,+,2.2,136.38
1035,Baben,436.0,7.18,21.0,1.57,+,2.2,75.36
1036,sin,5128.0,84.48,247.0,18.44,+,2.2,886.33
1037,Wit,1162.0,19.14,56.0,4.18,+,2.2,200.75
1038,%,2509.0,41.34,121.0,9.03,+,2.19,433.24
1039,Protestantismus,1472.0,24.25,71.0,5.3,+,2.19,254.14
1040,Hh,1969.0,32.44,95.0,7.09,+,2.19,339.88
1041,sektionen,518.0,8.53,25.0,1.87,+,2.19,89.39
1042,Begutachtung,663.0,10.92,32.0,2.39,+,2.19,114.41
1043,Zuni,290.0,4.78,14.0,1.04,+,2.19,50.04
1044,Jüngst,889.0,14.65,43.0,3.21,+,2.19,153.16
1045,Abstammung,351.0,5.78,17.0,1.27,+,2.19,60.41
1046,zuzuwenden,289.0,4.76,14.0,1.04,+,2.19,49.73
1047,kath.,3012.0,49.62,146.0,10.9,+,2.19,518.07
1048,Schulbesuch,906.0,14.93,44.0,3.28,+,2.18,155.6
1049,Gräser,370.0,6.1,18.0,1.34,+,2.18,63.46
1050,Veto,308.0,5.07,15.0,1.12,+,2.18,52.78
1051,Lippe,369.0,6.08,18.0,1.34,+,2.18,63.16
1052,Annähernd,471.0,7.76,23.0,1.72,+,2.18,80.55
1053,Toskana,307.0,5.06,15.0,1.12,+,2.18,52.48
1054,Lebensjahre,450.0,7.41,22.0,1.64,+,2.17,76.89
1055,Lese-,388.0,6.39,19.0,1.42,+,2.17,66.21
1056,"300,000",347.0,5.72,17.0,1.27,+,2.17,59.19
1057,Geregelt,408.0,6.72,20.0,1.49,+,2.17,69.57
1058,Lesebücher,408.0,6.72,20.0,1.49,+,2.17,69.57
1059,segenSreich,306.0,5.04,15.0,1.12,+,2.17,52.18
1060,biblischen,979.0,16.13,48.0,3.58,+,2.17,166.91
1061,schweiz.,3647.0,60.08,179.0,13.36,+,2.17,621.27
1062,Vr,3728.0,61.42,183.0,13.66,+,2.17,635.0
1063,schließlich,1766.0,29.09,87.0,6.49,+,2.16,299.96
1064,in's,4709.0,77.58,232.0,17.32,+,2.16,799.82
1065,ebensowenig,284.0,4.68,14.0,1.04,+,2.16,48.21
1066,Oele,304.0,5.01,15.0,1.12,+,2.16,51.57
1067,Näheres,344.0,5.67,17.0,1.27,+,2.16,58.29
1068,durchgemacht,263.0,4.33,13.0,0.97,+,2.16,44.55
1069,Beseitigung,627.0,10.33,31.0,2.31,+,2.16,106.2
1070,Katholizismus,1089.0,17.94,54.0,4.03,+,2.15,184.02
1071,Parlament,363.0,5.98,18.0,1.34,+,2.15,61.34
1072,prote-,684.0,11.27,34.0,2.54,+,2.15,115.36
1073,finanziellen,462.0,7.61,23.0,1.72,+,2.15,77.83
1074,hiebei,823.0,13.56,41.0,3.06,+,2.15,138.56
1075,Preußische,701.0,11.55,35.0,2.61,+,2.14,117.82
1076,DaseinS,400.0,6.59,20.0,1.49,+,2.14,67.15
1077,Hingabe,260.0,4.28,13.0,0.97,+,2.14,43.65
1078,verziert,260.0,4.28,13.0,0.97,+,2.14,43.65
1079,Ernennungen,519.0,8.55,26.0,1.94,+,2.14,87.0
1080,Erzbischöf,2453.0,40.41,123.0,9.18,+,2.14,410.88
1081,Kantonsschule,2333.0,38.44,117.0,8.73,+,2.14,390.73
1082,sektion,894.0,14.73,45.0,3.36,+,2.13,149.28
1083,Redaktor,576.0,9.49,29.0,2.16,+,2.13,96.17
1084,Dublin,278.0,4.58,14.0,1.04,+,2.13,46.4
1085,PilatuS,694.0,11.43,35.0,2.61,+,2.13,115.71
1086,Üniv,911.0,15.01,46.0,3.43,+,2.13,151.74
1087,betheiligten,891.0,14.68,45.0,3.36,+,2.13,148.38
1088,Dialekt,277.0,4.56,14.0,1.04,+,2.13,46.1
1089,organ,2136.0,35.19,108.0,8.06,+,2.13,355.4
1090,Aachen,355.0,5.85,18.0,1.34,+,2.12,58.93
1091,station,749.0,12.34,38.0,2.84,+,2.12,124.28
1092,Gedankens,611.0,10.07,31.0,2.31,+,2.12,101.38
1093,Lässt,532.0,8.76,27.0,2.02,+,2.12,88.25
1094,pst,906.0,14.93,46.0,3.43,+,2.12,150.24
1095,Lehrstoff,334.0,5.5,17.0,1.27,+,2.12,55.28
1096,gt.,530.0,8.73,27.0,2.02,+,2.12,87.65
1097,inFolge,1570.0,25.87,80.0,5.97,+,2.11,259.59
1098,Zahr,1510.0,24.88,77.0,5.75,+,2.11,249.52
1099,nöthigenfalls,294.0,4.84,15.0,1.12,+,2.11,48.56
1100,Priester-,294.0,4.84,15.0,1.12,+,2.11,48.56
1101,buch-,764.0,12.59,39.0,2.91,+,2.11,126.14
1102,gelb,1665.0,27.43,85.0,6.34,+,2.11,274.88
1103,Pfäffikon,959.0,15.8,49.0,3.66,+,2.11,158.22
1104,Unzweifelhaft,488.0,8.04,25.0,1.87,+,2.11,80.34
1105,Hecken,566.0,9.32,29.0,2.16,+,2.11,93.17
1106,glanzend,995.0,16.39,51.0,3.81,+,2.11,163.73
1107,Seelsorge,1638.0,26.99,84.0,6.27,+,2.11,269.43
1108,für's,721.0,11.88,37.0,2.76,+,2.1,118.53
1109,Bandchen,409.0,6.74,21.0,1.57,+,2.1,67.21
1110,Befähigung,681.0,11.22,35.0,2.61,+,2.1,111.81
1111,Schulbildung,583.0,9.6,30.0,2.24,+,2.1,95.63
1112,Gz,408.0,6.72,21.0,1.57,+,2.1,66.91
1113,ibrer,272.0,4.48,14.0,1.04,+,2.1,44.61
1114,sonstigen,660.0,10.87,34.0,2.54,+,2.1,108.16
1115,Weitaus,679.0,11.19,35.0,2.61,+,2.1,111.22
1116,Cks,465.0,7.66,24.0,1.79,+,2.1,76.08
1117,Fabrikate,523.0,8.62,27.0,2.02,+,2.1,85.56
1118,bort,329.0,5.42,17.0,1.27,+,2.09,53.78
1119,lÜZ,329.0,5.42,17.0,1.27,+,2.09,53.78
1120,eingeweiht,521.0,8.58,27.0,2.02,+,2.09,84.96
1121,zeichnens,289.0,4.76,15.0,1.12,+,2.09,47.07
1122,Nekrolog,462.0,7.61,24.0,1.79,+,2.09,75.19
1123,Presse,2211.0,36.43,115.0,8.58,+,2.09,359.48
1124,Aufschwung,518.0,8.53,27.0,2.02,+,2.08,84.07
1125,Gross,729.0,12.01,38.0,2.84,+,2.08,118.31
1126,Schlank,268.0,4.42,14.0,1.04,+,2.08,43.42
1127,stumpfen,287.0,4.73,15.0,1.12,+,2.08,46.47
1128,Zeitgemäß,287.0,4.73,15.0,1.12,+,2.08,46.47
1129,Braun,1683.0,27.73,88.0,6.57,+,2.08,272.43
1130,Konsequenz,306.0,5.04,16.0,1.19,+,2.08,49.53
1131,Lth,650.0,10.71,34.0,2.54,+,2.08,105.18
1132,britischen,707.0,11.65,37.0,2.76,+,2.08,114.36
1133,Kochsalz,363.0,5.98,19.0,1.42,+,2.08,58.71
1134,zugewendet,382.0,6.29,20.0,1.49,+,2.08,61.77
1135,angekündigten,305.0,5.02,16.0,1.19,+,2.07,49.24
1136,unwillkürlich,324.0,5.34,17.0,1.27,+,2.07,52.29
1137,überwachen,362.0,5.96,19.0,1.42,+,2.07,58.41
1138,soweit,1695.0,27.92,89.0,6.64,+,2.07,273.41
1139,eingesendet,438.0,7.22,23.0,1.72,+,2.07,70.65
1140,aktien,552.0,9.09,29.0,2.16,+,2.07,89.0
1141,franco,552.0,9.09,29.0,2.16,+,2.07,89.0
1142,Sowie,9285.0,152.97,488.0,36.43,+,2.07,1496.64
1143,anerkennung,3744.0,61.68,197.0,14.7,+,2.07,602.88
1144,würbe,1748.0,28.8,92.0,6.87,+,2.07,281.41
1146,Frienisberg,340.0,5.6,18.0,1.34,+,2.06,54.46
1147,Papstthum,301.0,4.96,16.0,1.19,+,2.05,48.05
1148,nr,4759.0,78.4,253.0,18.88,+,2.05,759.69
1149,Leh¬,413.0,6.8,22.0,1.64,+,2.05,65.81
1150,speziellen,861.0,14.18,46.0,3.43,+,2.05,136.86
1151,Sendungen,393.0,6.47,21.0,1.57,+,2.05,62.46
1152,Ueber¬,318.0,5.24,17.0,1.27,+,2.05,50.52
1153,Partien,299.0,4.93,16.0,1.19,+,2.04,47.46
1154,katho-,1958.0,32.26,105.0,7.84,+,2.04,310.24
1155,geregelten,317.0,5.22,17.0,1.27,+,2.04,50.23
1156,Stumpf,932.0,15.35,50.0,3.73,+,2.04,147.62
1157,klassen,5719.0,94.22,307.0,22.91,+,2.04,905.41
1158,Naturgemäß,391.0,6.44,21.0,1.57,+,2.04,61.87
1159,schenkel,763.0,12.57,41.0,3.06,+,2.04,120.68
1160,katechismus,1805.0,29.74,97.0,7.24,+,2.04,285.48
1161,jüng-,279.0,4.6,15.0,1.12,+,2.04,44.11
1162,nackt,651.0,10.73,35.0,2.61,+,2.04,102.92
1163,Wetzikon,353.0,5.82,19.0,1.42,+,2.04,55.75
1164,Afföltern,1224.0,20.17,66.0,4.93,+,2.03,193.02
1165,Begeisterung,1352.0,22.27,73.0,5.45,+,2.03,212.96
1166,Ew,1925.0,31.71,104.0,7.76,+,2.03,303.07
1167,bl.,573.0,9.44,31.0,2.31,+,2.03,90.1
1168,Ausfäll,351.0,5.78,19.0,1.42,+,2.03,55.17
1169,feierlichen,960.0,15.82,52.0,3.88,+,2.03,150.8
1170,Summa,2418.0,39.84,131.0,9.78,+,2.03,379.77
1171,"80,000",332.0,5.47,18.0,1.34,+,2.03,52.11
1172,Burgergemeinde,442.0,7.28,24.0,1.79,+,2.02,69.28
1173,Konfessionen,863.0,14.22,47.0,3.51,+,2.02,134.92
1174,stoffe,2347.0,38.67,128.0,9.55,+,2.02,366.49
1175,Pädagogischen,1613.0,26.57,88.0,6.57,+,2.02,251.79
1176,"400,000",348.0,5.73,19.0,1.42,+,2.02,54.29
1177,Johanna,348.0,5.73,19.0,1.42,+,2.02,54.29
1178,lebens-,586.0,9.65,32.0,2.39,+,2.02,91.4
1179,ErziehungSrathes,859.0,14.15,47.0,3.51,+,2.01,133.75
1180,durchzuführen,292.0,4.81,16.0,1.19,+,2.01,45.41
1181,beitrag,2918.0,48.07,160.0,11.94,+,2.01,453.51
1182,Trotz,4103.0,67.6,225.0,16.79,+,2.01,637.63
1183,Feiert,310.0,5.11,17.0,1.27,+,2.01,48.17
1184,bera,419.0,6.9,23.0,1.72,+,2.01,65.06
1185,Allseitige,364.0,6.0,20.0,1.49,+,2.01,56.47
1186,Formenlehre,709.0,11.68,39.0,2.91,+,2.0,109.88
1187,statistischen,581.0,9.57,32.0,2.39,+,2.0,89.94
1188,Sprachunterricht,962.0,15.85,53.0,3.96,+,2.0,148.88
1189,Mittelschulen,635.0,10.46,35.0,2.61,+,2.0,98.24
1190,freudigkeit,290.0,4.78,16.0,1.19,+,2.0,44.82
1191,klösterlichen,290.0,4.78,16.0,1.19,+,2.0,44.82
1192,Sehne,452.0,7.45,25.0,1.87,+,2.0,69.71
1193,BlatteS,1446.0,23.82,80.0,5.97,+,2.0,222.96
1194,Horgen,1699.0,27.99,94.0,7.02,+,2.0,261.96
1195,Erledigung,957.0,15.77,53.0,3.96,+,1.99,147.43
1196,Pfarrei,3369.0,55.5,187.0,13.96,+,1.99,517.97
1197,Pfd.,1981.0,32.64,110.0,8.21,+,1.99,304.46
1198,Ersichtlich,324.0,5.34,18.0,1.34,+,1.99,49.77
1199,gewehre,324.0,5.34,18.0,1.34,+,1.99,49.77
1200,Buchhandel,449.0,7.4,25.0,1.87,+,1.99,68.84
1201,Leibesübungen,377.0,6.21,21.0,1.57,+,1.99,57.78
1202,Rundschreiben,323.0,5.32,18.0,1.34,+,1.99,49.48
1203,Grammatische,484.0,7.97,27.0,2.02,+,1.98,74.08
1204,tg,555.0,9.14,31.0,2.31,+,1.98,84.85
1205,Rp.,7402.0,121.95,414.0,30.9,+,1.98,1130.33
1206,Kan¬,536.0,8.83,30.0,2.24,+,1.98,81.79
1207,Juristen,428.0,7.05,24.0,1.79,+,1.98,65.2
1208,Pfr.,4529.0,74.61,254.0,18.96,+,1.98,689.9
1209,Aargaus,303.0,4.99,17.0,1.27,+,1.98,46.14
1210,ArmenwesenS,392.0,6.46,22.0,1.64,+,1.98,59.67
1211,Hinweisung,320.0,5.27,18.0,1.34,+,1.97,48.61
1212,Zellen,798.0,13.15,45.0,3.36,+,1.97,120.95
1213,Courtelary,707.0,11.65,40.0,2.99,+,1.96,106.84
1214,Namentlich,14311.0,235.77,810.0,60.46,+,1.96,2162.14
1215,geeigneter,477.0,7.86,27.0,2.02,+,1.96,72.05
1216,Einsendung,689.0,11.35,39.0,2.91,+,1.96,104.07
1217,PriSma,353.0,5.82,20.0,1.49,+,1.96,53.27
1218,vielfach,2364.0,38.95,134.0,10.0,+,1.96,356.63
1219,Blüthen,1587.0,26.15,90.0,6.72,+,1.96,239.31
1220,Statistische,546.0,9.0,31.0,2.31,+,1.96,82.24
1221,Kiefer,405.0,6.67,23.0,1.72,+,1.96,60.99
1222,Käntonsrath,387.0,6.38,22.0,1.64,+,1.96,58.23
1223,Länglich,897.0,14.78,51.0,3.81,+,1.96,134.94
1224,kantons-,668.0,11.01,38.0,2.84,+,1.96,100.44
1225,Ernährung,333.0,5.49,19.0,1.42,+,1.95,49.93
1226,/g,876.0,14.43,50.0,3.73,+,1.95,131.31
1227,dr.,4993.0,82.26,285.0,21.27,+,1.95,748.47
1228,konfession,1121.0,18.47,64.0,4.78,+,1.95,168.0
1229,zulässig,350.0,5.77,20.0,1.49,+,1.95,52.41
1230,Trier,454.0,7.48,26.0,1.94,+,1.95,67.85
1231,fabriken,2457.0,40.48,141.0,10.52,+,1.94,366.48
1232,Leinen,574.0,9.46,33.0,2.46,+,1.94,85.47
1233,Verein,5025.0,82.79,289.0,21.57,+,1.94,748.03
1234,Lesebuches,295.0,4.86,17.0,1.27,+,1.94,43.83
1235,br.,971.0,16.0,56.0,4.18,+,1.94,144.16
1236,wöchentlichen,537.0,8.85,31.0,2.31,+,1.93,79.66
1237,ziegeln,519.0,8.55,30.0,2.24,+,1.93,76.89
1238,Paragraphen,622.0,10.25,36.0,2.69,+,1.93,92.04
1239,Liberale,449.0,7.4,26.0,1.94,+,1.93,66.41
1240,Hefte,1433.0,23.61,83.0,6.2,+,1.93,211.91
1241,Anregung,1500.0,24.71,87.0,6.49,+,1.93,221.53
1242,Lebendigkeit,362.0,5.96,21.0,1.57,+,1.93,53.45
1243,Berücksichtigung,1929.0,31.78,112.0,8.36,+,1.93,284.61
1244,Vertreten,1771.0,29.18,103.0,7.69,+,1.92,260.88
1245,gerathe,447.0,7.36,26.0,1.94,+,1.92,65.84
1246,auser-,429.0,7.07,25.0,1.87,+,1.92,63.08
1247,vertreter,806.0,13.28,47.0,3.51,+,1.92,118.43
1248,gem.,1130.0,18.62,66.0,4.93,+,1.92,165.79
1249,gestützt,1147.0,18.9,67.0,5.0,+,1.92,168.27
1250,protest,735.0,12.11,43.0,3.21,+,1.92,107.67
1251,Abgehalten,1722.0,28.37,101.0,7.54,+,1.91,251.65
1252,Notiz,680.0,11.2,40.0,2.99,+,1.91,99.1
1253,Schönschreiben,408.0,6.72,24.0,1.79,+,1.91,59.46
1254,Günstiges,389.0,6.41,23.0,1.72,+,1.9,56.41
1255,Rahmen,321.0,5.29,19.0,1.42,+,1.9,46.5
